"","domain","freq","score","wilson_cat"
"653","santafenewmexican",9,-0.3513,"Left"
"654","savannahnow",8,0.2235,"Right"
"655","sbsun",10,0.1353,"Right"
"656","scientificamerican",161,-0.4039,"Left"
"657","scmp",352,-0.1861,"Center"
"658","sctimes",8,-0.0448,"Center"
"659","seacoastonline",4,-0.0714,"Center"
"660","seattlepi",264,-0.1598,"Center"
"661","seattletimes",293,-0.2764,"Left"
"662","seattleweekly",1,-0.6142,"Left"
"663","sentinelandenterprise",2,-0.0686,"Center"
"664","sevendaysvt",4,-0.2013,"Left"
"665","sfchronicle",155,-0.4104,"Left"
"666","sfexaminer",398,-0.277,"Left"
"667","sfgate",2025,-0.1764,"Center"
"668","sfreporter",1,-0.6463,"Left"
"669","sfweekly",15,-0.5057,"Left"
"670","sgvtribune",4,-0.0625,"Center"
"671","shareblue",213,-0.7856,"Left"
"672","shelbystar",1,0.3621,"Right"
"673","shreveporttimes",5,0.3265,"Right"
"674","silive",15,-0.1686,"Center"
"675","siouxcityjournal",85,0.5127,"Right"
"676","sj-r",8,-0.2453,"Left"
"677","slate",2339,-0.5108,"Left"
"678","sltrib",135,0.1265,"Right"
"679","smartbrief",31,0.0743,"Center"
"680","smh",27,-0.1802,"Center"
"681","snopes",1556,-0.165,"Center"
"682","somdnews",3,0.2132,"Right"
"683","sourcewatch",9,-0.8738,"Left"
"684","southbendtribune",9,0.1353,"Right"
"685","southcoasttoday",13,-0.3375,"Left"
"686","spectator",12,0.8369,"Right"
"687","spiegel",15,-0.4226,"Left"
"688","spiked-online",29,0.3727,"Right"
"689","splcenter",109,-0.6753,"Left"
"690","splinternews",864,-0.8336,"Left"
"691","spokesman",23,0.0198,"Center"
"692","sputniknews",69,0.3021,"Right"
"693","stamfordadvocate",111,-0.0176,"Center"
"694","standard",2,0.4708,"Right"
"695","star-telegram",183,0.2801,"Right"
"696","staradvertiser",45,0.0743,"Center"
"697","stardem",1,0.0735,"Center"
"698","starherald",1,0.4627,"Right"
"699","starnewsonline",144,0.1902,"Right"
"700","startribune",256,-0.1326,"Center"
"701","statesman",27,-0.0242,"Center"
"702","statesmanjournal",132,-0.0928,"Center"
"703","staugustine",1,0.361,"Right"
"704","stgeorgeutah",1,0.5979,"Right"
"705","stlamerican",1,-0.7399,"Left"
"706","stltoday",273,-0.0203,"Center"
"707","straight",2,-0.5679,"Left"
"708","stream",5,0.8676,"Right"
"709","stripes",19,0.3034,"Right"
"710","stupiddope",14704,-0.4595,"Left"
"711","styleweekly",18,-0.4746,"Left"
"712","summitdaily",2,-0.3456,"Left"
"713","sun-sentinel",153,0.1319,"Right"
"714","sungazette",4,0.2819,"Right"
"715","sunherald",5,0.0819,"Center"
"716","sunjournal",25,-0.0492,"Center"
"717","sunnyskyz",2,0.0206,"Center"
"718","suntimes",161,-0.0091,"Center"
"719","syracuse",194,0.0103,"Center"
"720","talkingpointsmemo",123,-0.6732,"Left"
"721","tallahassee",10,0.179,"Right"
"722","tampabay",203,0.0938,"Right"
"723","taskandpurpose",46,-0.0358,"Center"
"724","tauntongazette",1,-0.2459,"Left"
"725","tbo",2,0.382,"Right"
"726","tcpalm",13,0.3656,"Right"
"727","telegram",11,-0.0927,"Center"
"728","telegraph",311,-0.0634,"Center"
"729","telegraphindia",2,-0.5449,"Left"
"730","telemundo",26201,-0.1834,"Center"
"731","tennessean",99,0.1288,"Right"
"732","texastribune",22,-0.332,"Left"
"733","the-dispatch",5,0.4512,"Right"
"734","theadvertiser",11,0.3796,"Right"
"735","theadvocate",58,0.159,"Right"
"736","theage",12,-0.3447,"Left"
"737","theamericanconservative",24,0.2098,"Right"
"738","theatlantic",2085,-0.4148,"Left"
"739","theaustralian",6,-0.0369,"Center"
"740","thebaffler",4,-0.7773,"Left"
"741","theblaze",150,0.7889,"Right"
"742","thecharlottepost",2,-0.3357,"Left"
"743","theconversation",116,-0.4203,"Left"
"744","thecrimson",12,-0.4793,"Left"
"745","thedailybanter",5,-0.6255,"Left"
"746","thedailybeast",3071,-0.3825,"Left"
"747","thedailynewsonline",3,0.4566,"Right"
"748","thedaonline",1,0.0786,"Center"
"749","theday",7,-0.0263,"Center"
"750","thedp",24,-0.5556,"Left"
"751","thedrum",2,-0.2465,"Left"
"752","theeagle",4,-0.0928,"Center"
"753","theepochtimes",130,0.0084,"Center"
"754","thefederalist",111,0.7078,"Right"
"755","thegazette",2,0.2812,"Right"
"756","theglobeandmail",52,-0.2402,"Left"
"757","theguardian",2194,-0.3893,"Left"
"758","thehill",2599,-0.06,"Center"
"759","thehindu",29,-0.334,"Left"
"760","thehindubusinessline",1,-0.0209,"Center"
"761","thehour",160,-0.0381,"Center"
"762","theindependent",162,0.5022,"Right"
"763","theintell",4,0.0599,"Center"
"764","theintelligencer",4,0.2689,"Right"
"765","theintercept",213,-0.5133,"Left"
"766","theislandnow",1,-0.0181,"Center"
"767","thelcn",17,0.1811,"Right"
"768","theledger",10,0.3499,"Right"
"769","themarshallproject",14,-0.7337,"Left"
"770","thenation",154,-0.7298,"Left"
"771","thenational",20,-0.2521,"Left"
"772","thenews",1,-0.456,"Left"
"773","thenewsstar",2,0.3706,"Right"
"774","thenewstribune",20,-0.0753,"Center"
"775","theoaklandpress",6,0.045,"Center"
"776","theolympian",18,-0.1516,"Center"
"777","theonion",421,-0.2903,"Left"
"778","thepoliticalinsider",45,0.8515,"Right"
"779","theprovince",7,0.0963,"Right"
"780","therealnews",4,-0.7059,"Left"
"781","thereporteronline",1,0.1298,"Right"
"782","therepublic",1,0.0761,"Center"
"783","therightscoop",1,0.8978,"Right"
"784","theroot",1287,-0.7344,"Left"
"785","thescottishsun",8,-0.0443,"Center"
"786","thesouthern",2,0.0015,"Center"
"787","thespectrum",3,0.4745,"Right"
"788","thestar",68,-0.3687,"Left"
"789","thestarpress",1,0.2668,"Right"
"790","thestate",66,0.0758,"Center"
"791","thestranger",62,-0.7594,"Left"
"792","thestreet",74,0.1554,"Right"
"793","thesun",518,0.3268,"Right"
"794","thesunchronicle",3,-0.075,"Center"
"795","thetimes-tribune",4,-0.0402,"Center"
"796","thetimes",52,-0.1205,"Center"
"797","thevillager",7,-0.7859,"Left"
"798","theweek",586,-0.1771,"Center"
"799","theworldlink",1,0.1256,"Right"
"800","thinkprogress",309,-0.7193,"Left"
"801","time",1480,-0.2046,"Left"
"802","times-news",1,-0.02,"Center"
"803","timescall",2,-0.0774,"Center"
"804","timescolonist",3,0.2173,"Right"
"805","timesfreepress",20,-0.0026,"Center"
"806","timesherald",1,0.0859,"Center"
"807","timesleader",3,0.0405,"Center"
"808","timesonline",1,0.1328,"Right"
"809","timesunion",27,-0.1695,"Center"
"810","timeswv",3,0.247,"Right"
"811","toledoblade",20,-0.0608,"Center"
"812","topix",942,0.0841,"Center"
"813","townhall",362,0.8498,"Right"
"814","trentonian",10,-0.0263,"Center"
"815","tri-cityherald",1,0.045,"Center"
"816","trib",1,0.3628,"Right"
"817","tribdem",195,0.1224,"Right"
"818","triblive",48,0.1962,"Right"
"819","truth-out",30,-0.7375,"Left"
"820","truthdig",35,-0.6402,"Left"
"821","tucson",272,-0.0604,"Center"
"822","tucsonweekly",1,-0.268,"Left"
"823","tulsaworld",224,0.3603,"Right"
"824","twincities",390,0.0619,"Center"
"825","twitchy",88,0.8755,"Right"
"826","tytnetwork",1,-0.9189,"Left"
"827","unionleader",376,0.3961,"Right"
"828","universalhub",24,-0.6899,"Left"
"829","univision",47,-0.4249,"Left"
"830","upi",116,0.0385,"Center"
"831","usatoday",6537,0.0582,"Center"
"832","usnews",1231,-0.1304,"Center"
"833","uticaod",15,0.2141,"Right"
"834","vaildaily",4,0.1017,"Right"
"835","vancouversun",30,-0.1695,"Center"
"836","vanityfair",615,-0.4891,"Left"
"837","variety",550,-0.2409,"Left"
"838","vcstar",47,-0.0749,"Center"
"839","vice",1618,-0.5531,"Left"
"840","villagevoice",11,-0.7541,"Left"
"841","vindy",436,0.1866,"Right"
"842","vineyardgazette",5,-0.3615,"Left"
"843","vnews",2,-0.3858,"Left"
"844","voanews",55,-0.2529,"Left"
"845","vox",1419,-0.5546,"Left"
"846","vulture",913,-0.5491,"Left"
"847","wacotrib",285,0.0503,"Center"
"848","washingtoncitypaper",22,-0.6925,"Left"
"849","washingtonexaminer",432,0.5399,"Right"
"850","washingtonmonthly",3,-0.6629,"Left"
"851","washingtonpost",25058,-0.2342,"Left"
"852","washingtontimes",233,0.6297,"Right"
"853","watertowndailytimes",63,0.1764,"Right"
"854","wcfcourier",7,0.2743,"Right"
"855","wcpo",17,0.1679,"Right"
"856","weeklystandard",29,0.6389,"Right"
"857","westfaironline",1,-0.1626,"Center"
"858","westword",46,-0.3379,"Left"
"859","wickedlocal",135,-0.2532,"Left"
"860","winnipegfreepress",3,-0.1939,"Center"
"861","wired",863,-0.2354,"Left"
"862","wn",19,0.0313,"Center"
"863","wnd",499,0.8699,"Right"
"864","worldpoliticsreview",58,-0.5317,"Left"
"865","worldpressphoto",1,-0.5482,"Left"
"866","wsj",1634,0.0106,"Center"
"867","wsws",6,-0.1834,"Center"
"868","wtop",201,-0.0792,"Center"
"869","wvgazettemail",24,-0.2868,"Left"
"870","wweek",18,-0.6215,"Left"
"871","yahoo",215230,0.0848,"Center"
"872","yakimaherald",73,-0.139,"Center"
"873","yaledailynews",5,-0.5554,"Left"
"874","ydr",34,0.2475,"Right"
"875","ynetnews",320,0.2455,"Right"
"876","yorkdispatch",1,0.1967,"Right"
"877","yorknewstimes",14,0.6552,"Right"
"878","yourobserver",1,0.4942,"Right"
