"","domain","freq","score","wilson_cat"
"72","bozemandailychronicle",1,-0.0883,"Center"
"73","bradenton",5,0.3184,"Right"
"74","breitbart",1007,0.7419,"Right"
"75","broadcastingcable",8,-0.1685,"Center"
"76","brooklyneagle",2,-0.5115,"Left"
"77","browardpalmbeach",8,-0.0907,"Center"
"78","buckscountycouriertimes",2,0.1298,"Right"
"79","buffalonews",61,-0.0199,"Center"
"80","burlingtonfreepress",9,-0.334,"Left"
"81","business-standard",2,-0.1273,"Center"
"82","businessinsider",4194,-0.0373,"Center"
"83","businessobserverfl",3,0.628,"Right"
"84","buzzfeed",24554,-0.1616,"Center"
"85","c-span",83,-0.1794,"Center"
"86","calgarysun",3,0.2658,"Right"
"87","caller",3,0.2322,"Right"
"88","canadafreepress",3,0.8944,"Right"
"89","canberratimes",3,-0.1877,"Center"
"90","cantonrep",12,0.3176,"Right"
"91","capecodtimes",14,-0.1952,"Center"
"92","capemaycountyherald",1,0.1802,"Right"
"93","capenews",1,-0.4094,"Left"
"94","capitalgazette",18,0.1496,"Right"
"95","capitalpress",1,0.1113,"Right"
"96","cbc",251,-0.23,"Left"
"97","cbn",71,0.7299,"Right"
"98","cbs",2153,-0.0024,"Center"
"99","cbslocal",954,0.1124,"Right"
"100","cbsnews",3072,-0.017,"Center"
"101","cdapress",2,0.6114,"Right"
"102","cecildaily",35,0.1744,"Right"
"103","centraljersey",7,-0.1506,"Center"
"104","centralmaine",166,-0.2782,"Left"
"105","centredaily",13,0.1504,"Right"
"106","charlestoncitypaper",1,-0.2073,"Left"
"107","charlotteobserver",121,0.009,"Center"
"108","chattanoogan",1,0.045,"Center"
"109","chicagobusiness",11,-0.1564,"Center"
"110","chicagoreader",15,-0.7109,"Left"
"111","chicagoreporter",1,-0.8419,"Left"
"112","chicagotribune",983,-0.1587,"Center"
"113","chinadaily",3,-0.0837,"Center"
"114","chron",821,-0.1725,"Center"
"115","chroniclingamerica",66,-0.3552,"Left"
"116","cincinnati",40,0.1238,"Right"
"117","cision",150,0.0275,"Center"
"118","citizen-times",341,-0.0089,"Center"
"119","citizensvoice",12,0.2122,"Right"
"120","city-journal",9,0.5366,"Right"
"121","citybeat",51,-0.3737,"Left"
"122","citypages",21,-0.5999,"Left"
"123","citypaper",1,-0.752,"Left"
"124","cityweekly",1,-0.0958,"Center"
"125","cjonline",377,0.3547,"Right"
"126","cjr",54,-0.5885,"Left"
"127","clarionledger",48,-0.2341,"Left"
"128","clclt",1,-0.3812,"Left"
"129","cleveland",54,-0.047,"Center"
"130","clevescene",13,-0.3864,"Left"
"131","cnbc",1530,0.0811,"Center"
"132","cnn",19636,-0.1183,"Center"
"133","cnsnews",35,0.8578,"Right"
"134","collegemagazine",1,-0.056,"Center"
"135","coloradoan",12,0.0497,"Center"
"136","colorlines",9,-0.8871,"Left"
"137","columbiamissourian",20,-0.2004,"Left"
"138","columbian",12,-0.2822,"Left"
"139","columbiaspectator",26,-0.6849,"Left"
"140","columbiatribune",5,-0.0648,"Center"
"141","columbustelegram",3,0.5139,"Right"
"142","commentarymagazine",6,0.4875,"Right"
"143","commercialappeal",64,-0.0222,"Center"
"144","commondreams",80,-0.6526,"Left"
"145","concordmonitor",4,-0.1948,"Center"
"146","conservativereview",25,0.9036,"Right"
"147","conservativetribune",4,0.8741,"Right"
"148","consortiumnews",1,0.1885,"Right"
"149","cookpolitical",6,-0.3078,"Left"
"150","copyright",22,-0.5057,"Left"
"151","cornellsun",9,-0.5338,"Left"
"152","counterpunch",9,-0.338,"Left"
"153","courant",68,-0.1115,"Center"
"154","courier-journal",29,0.0697,"Center"
"155","courier-tribune",1,0.2197,"Right"
"156","couriermail",3,-0.0787,"Center"
"157","courierpostonline",3,-0.086,"Center"
"158","courierpress",29,0.2355,"Right"
"159","crainsnewyork",3,-0.4086,"Left"
"160","creators",8,0.255,"Right"
"161","crooksandliars",23,-0.7006,"Left"
"162","csindy",1,0.0201,"Center"
"163","csmonitor",56,-0.2341,"Left"
"164","ctpost",29,-0.0683,"Center"
"165","ctvnews",23,-0.0435,"Center"
"166","cumberlink",7,0.2777,"Right"
"167","currentaffairs",7,-0.6556,"Left"
"168","daily-times",2,0.045,"Center"
"169","dailyastorian",1,-0.2133,"Left"
"170","dailybruin",4,-0.267,"Left"
"171","dailycal",6,-0.3892,"Left"
"172","dailycaller",512,0.6958,"Right"
"173","dailycamera",7,-0.3862,"Left"
"174","dailycommercial",1,0.3996,"Right"
"175","dailydot",39979,-0.401,"Left"
"176","dailyfreeman",2,-0.2551,"Left"
"177","dailygazette",1,0.0368,"Center"
"178","dailyherald",42,0.1127,"Right"
"179","dailyindependent",1,0.0761,"Center"
"180","dailyitem",38,0.2385,"Right"
"181","dailykos",4244,-0.7052,"Left"
"182","dailylocal",5,0.2307,"Right"
"183","dailymail",1925,0.2105,"Right"
"184","dailynews",13,0.0592,"Center"
"185","dailynorthwestern",72,-0.6088,"Left"
"186","dailypress",145,-0.0883,"Center"
"187","dailyprogress",10,-0.3991,"Left"
"188","dailyrecord",1,0.2389,"Right"
"189","dailysignal",70,0.8842,"Right"
"190","dailytarheel",19,-0.2241,"Left"
"191","dailytelegraph",8,0.1737,"Right"
"192","dailytexanonline",3,-0.3615,"Left"
"193","dailywire",1108,0.8496,"Right"
"194","dallasnews",944,-0.2175,"Left"
"195","dallasobserver",36,0.1962,"Right"
"196","daytondailynews",29,0.0576,"Center"
"197","dcourier",5,0.3942,"Right"
"198","deccanchronicle",3,-0.072,"Center"
"199","deccanherald",1,-0.3014,"Left"
"200","delawareonline",71,-0.0891,"Center"
"201","delawarestatenews",1,0.0786,"Center"
"202","delcotimes",10,0.169,"Right"
"203","delmarvanow",5,0.1305,"Right"
"204","democracynow",25,-0.744,"Left"
"205","democratandchronicle",103,0.0169,"Center"
"206","democratherald",2,0.057,"Center"
"207","denverpost",277,0.0352,"Center"
"208","deseretnews",84,0.5662,"Right"
"209","desertsun",34,-0.1163,"Center"
"210","desmoinesregister",151,0.2004,"Right"
"211","detroitnews",907,0.0931,"Right"
"212","dispatch",73,-0.1494,"Center"
"213","dissentmagazine",1,-0.857,"Left"
"214","dnaindia",10,-0.1687,"Center"
"215","dotnews",2,-0.7934,"Left"
"216","drudgereport",3654,0.8839,"Right"
"217","duluthnewstribune",25,-0.0077,"Center"
"218","durangoherald",4,-0.1143,"Center"
"219","dw",213,-0.2763,"Left"
"220","eagletribune",15,0.0239,"Center"
"221","eastbaytimes",8,0.0924,"Right"
"222","eastoregonian",1,0.1076,"Right"
"223","economist",461,-0.2302,"Left"
"224","edmondsun",2,0.58,"Right"
"225","elitedaily",461,0.0368,"Center"
"226","elnuevoherald",17,0.0487,"Center"
"227","elpais",54,-0.3631,"Left"
"228","elpasotimes",30,-0.3264,"Left"
"229","enidnews",2,0.5259,"Right"
"230","enterprisenews",2,0.0559,"Center"
"231","esquire",694,-0.4561,"Left"
"232","euronews",16,-0.2407,"Left"
"233","express",660,0.4419,"Right"
"234","factcheck",131,-0.3078,"Left"
"235","fair",4,-0.6554,"Left"
"236","fark",60,-0.2713,"Left"
"237","fayobserver",49,0.0832,"Center"
"238","fcc",226,-0.289,"Left"
"239","federalreserve",20,0.027,"Center"
"240","finance",80523,0.1467,"Right"
"241","financialexpress",5,-0.1017,"Center"
"242","firsttoknow",11,0.3017,"Right"
"243","fivethirtyeight",789,-0.388,"Left"
"244","flatheadbeacon",1,-0.2401,"Left"
"245","flkeysnews",2,-0.0106,"Center"
"246","floridatoday",79,0.3232,"Right"
"247","fltimes",1,-0.1654,"Center"
"248","forbes",5747,0.0465,"Center"
"249","foreignaffairs",66,-0.3666,"Left"
"250","foreignpolicy",59,-0.4485,"Left"
"251","fortune",236,-0.08,"Center"
"252","fosters",2,0.0482,"Center"
"253","foxbusiness",670,0.6062,"Right"
"254","foxnews",11987,0.6079,"Right"
"255","france24",104,-0.1466,"Center"
"256","fredericknewspost",125,-0.0966,"Center"
