"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","page_center_w1","page_left_w1","page_right_w1","page_center_w2","page_right_w2","page_left_w2","domain_center_w1","domain_left_w1","domain_right_w1","domain_center_w2","domain_left_w2","domain_right_w2","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","page_center_mean_w2","page_right_mean_w2","page_left_mean_w2","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","page_center_perc_w2","page_right_perc_w2","page_left_perc_w2","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1","domain_center_perc_w2","domain_left_perc_w2","domain_right_perc_w2"
2,14879,34,34,635,25084,102,75,1246,10,3,3,25,0,3,53,15,6,129,6,6,0.294117647058824,0.0882352941176471,0.0882352941176471,0.333333333333333,0,0.04,1.55882352941176,0.441176470588235,0.176470588235294,1.72,0.08,0.08,0.00067208817796895,0.000201626453390685,0.000201626453390685,0.000996651251793972,0,0.000119598150215277,0.00356206734323543,0.00100813226695342,0.00040325290678137,0.0051427204592569,0.000239196300430553,0.000239196300430553
3,45446,92,92,696,50994,94,94,839,68,1,2,11,1,4,378,6,3,447,12,3,0.739130434782609,0.0108695652173913,0.0217391304347826,0.117021276595745,0.0106382978723404,0.0425531914893617,4.10869565217391,0.0652173913043478,0.0326086956521739,4.75531914893617,0.127659574468085,0.0319148936170213,0.00149628130088457,2.20041367777142e-05,4.40082735554284e-05,0.000215711652351257,1.96101502137506e-05,7.84406008550026e-05,0.00831756370197597,0.000132024820666285,6.60124103331426e-05,0.00876573714554653,0.000235321802565008,5.88304506412519e-05
4,9674,90,82,798,576,58,15,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11090,89,68,483,17794,89,84,480,68,5,0,83,1,5,69,6,1,85,5,1,1,0.0735294117647059,0,0.988095238095238,0.0119047619047619,0.0595238095238095,1.01470588235294,0.0882352941176471,0.0147058823529412,1.01190476190476,0.0595238095238095,0.0119047619047619,0.00613165013525699,0.000450856627592426,0,0.00466449364954479,5.61987186692143e-05,0.000280993593346072,0.00622182146077547,0.000541027953110911,9.01713255184851e-05,0.00477689108688322,0.000280993593346072,5.61987186692143e-05
6,7840,32,22,324,9002,98,58,501,6,7,1,7,2,3,19,13,3,11,11,23,0.272727272727273,0.318181818181818,0.0454545454545455,0.120689655172414,0.0344827586206897,0.0517241379310345,0.863636363636364,0.590909090909091,0.136363636363636,0.189655172413793,0.189655172413793,0.396551724137931,0.00076530612244898,0.000892857142857143,0.000127551020408163,0.000777604976671851,0.000222172850477672,0.000333259275716507,0.0024234693877551,0.00165816326530612,0.00038265306122449,0.00122195067762719,0.00122195067762719,0.00255498778049322
8,4033,90,46,210,6259,62,58,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,44,35,11,20,1788,95,20,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,47438,91,91,1036,40659,103,88,730,508,164,6,1286,407,67,1316,522,16,1876,324,869,5.58241758241758,1.8021978021978,0.0659340659340659,14.6136363636364,4.625,0.761363636363636,14.4615384615385,5.73626373626374,0.175824175824176,21.3181818181818,3.68181818181818,9.875,0.0107087145326531,0.00345714406172267,0.000126480880306927,0.0316289136476549,0.0100100838682702,0.00164785164416242,0.0277414730806526,0.0110038365867026,0.000337282347485138,0.0461398460365479,0.00796871541356157,0.0213728817727932
11,3609,32,16,244,24217,91,68,1124,0,1,0,6,1,5,12,1,0,14,21,2,0,0.0625,0,0.0882352941176471,0.0147058823529412,0.0735294117647059,0.75,0.0625,0,0.205882352941176,0.308823529411765,0.0294117647058824,0,0.00027708506511499,0,0.000247759838130239,4.12933063550398e-05,0.000206466531775199,0.00332502078137988,0.00027708506511499,0,0.000578106288970558,0.000867159433455837,8.25866127100797e-05
12,12840,38,26,484,15809,92,82,551,62,1,53,623,271,24,184,3,116,785,119,532,2.38461538461538,0.0384615384615385,2.03846153846154,7.59756097560976,3.30487804878049,0.292682926829268,7.07692307692308,0.115384615384615,4.46153846153846,9.57317073170732,1.45121951219512,6.48780487804878,0.00482866043613707,7.78816199376947e-05,0.00412772585669782,0.0394079321905244,0.0171421342273389,0.00151812258839901,0.0143302180685358,0.000233644859813084,0.00903426791277259,0.0496552596622177,0.00752735783414511,0.0336517173761781
13,12944,90,84,458,14125,99,90,555,18,2,0,40,8,2,34,3,0,47,5,14,0.214285714285714,0.0238095238095238,0,0.444444444444444,0.0888888888888889,0.0222222222222222,0.404761904761905,0.0357142857142857,0,0.522222222222222,0.0555555555555556,0.155555555555556,0.00139060568603214,0.00015451174289246,0,0.00283185840707965,0.000566371681415929,0.000141592920353982,0.00262669962917182,0.00023176761433869,0,0.00332743362831858,0.000353982300884956,0.000991150442477876
14,44912,90,88,1034,60920,95,92,1351,104,0,2,137,4,2,131,5,5,163,3,19,1.18181818181818,0,0.0227272727272727,1.48913043478261,0.0434782608695652,0.0217391304347826,1.48863636363636,0.0568181818181818,0.0568181818181818,1.77173913043478,0.0326086956521739,0.206521739130435,0.0023156394727467,0,4.4531528322052e-05,0.00224885095206829,6.56598818122127e-05,3.28299409061064e-05,0.00291681510509441,0.00011132882080513,0.00011132882080513,0.00267564018384767,4.92449113591596e-05,0.00031188443860801
15,3233,50,39,257,2987,95,34,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12027,90,76,320,17436,90,80,532,3,2,0,9,1,1,12,3,1,27,2,7,0.0394736842105263,0.0263157894736842,0,0.1125,0.0125,0.0125,0.157894736842105,0.0394736842105263,0.0131578947368421,0.3375,0.025,0.0875,0.000249438762783737,0.000166292508522491,0,0.000516173434273916,5.73526038082129e-05,5.73526038082129e-05,0.000997755051134946,0.000249438762783737,8.31462542612455e-05,0.00154852030282175,0.000114705207616426,0.00040146822665749
17,3177,91,89,265,3682,71,64,255,10,2,4,16,4,0,13,5,5,21,4,6,0.112359550561798,0.0224719101123595,0.0449438202247191,0.25,0.0625,0,0.146067415730337,0.0561797752808989,0.0561797752808989,0.328125,0.0625,0.09375,0.00314762354422411,0.000629524708844822,0.00125904941768964,0.00434546442151005,0.00108636610537751,0,0.00409191060749134,0.00157381177211206,0.00157381177211206,0.00570342205323194,0.00108636610537751,0.00162954915806627
18,2531,29,29,147,10892,61,58,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,30816,91,91,768,22405,104,89,640,90,60,2,75,0,35,97,153,2,80,166,2,0.989010989010989,0.659340659340659,0.021978021978022,0.842696629213483,0,0.393258426966292,1.06593406593407,1.68131868131868,0.021978021978022,0.898876404494382,1.86516853932584,0.0224719101123595,0.00292056074766355,0.00194704049844237,6.49013499480789e-05,0.00334746708324035,0,0.00156215130551216,0.00314771547248183,0.00496495327102804,6.49013499480789e-05,0.00357063155545637,0.00740906047757197,8.92657888864093e-05
22,16722,91,85,891,7466,99,31,433,17,8,7,9,2,1,76,30,37,24,6,9,0.2,0.0941176470588235,0.0823529411764706,0.290322580645161,0.0645161290322581,0.032258064516129,0.894117647058824,0.352941176470588,0.435294117647059,0.774193548387097,0.193548387096774,0.290322580645161,0.00101662480564526,0.000478411673244827,0.000418610214089224,0.0012054647736405,0.000267881060809001,0.0001339405304045,0.00454491089582586,0.0017940437746681,0.00221265398875733,0.00321457272970801,0.000803643182427002,0.0012054647736405
23,1637,92,92,144,1810,99,97,167,33,0,0,38,0,0,36,0,0,39,0,0,0.358695652173913,0,0,0.391752577319588,0,0,0.391304347826087,0,0,0.402061855670103,0,0,0.0201588271227856,0,0,0.0209944751381215,0,0,0.0219914477703115,0,0,0.0215469613259669,0,0
24,4602,91,89,161,14394,104,83,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,14458,91,90,392,31666,92,92,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,46979,88,88,627,11366,96,29,306,182,0,1,83,14,5,266,15,1,113,6,22,2.06818181818182,0,0.0113636363636364,2.86206896551724,0.482758620689655,0.172413793103448,3.02272727272727,0.170454545454545,0.0113636363636364,3.89655172413793,0.206896551724138,0.758620689655172,0.0038740713936014,0,2.12861065582494e-05,0.00730248108393454,0.00123174379729016,0.000439908499032201,0.00566210434449435,0.000319291598373741,2.12861065582494e-05,0.00994193207812775,0.000527890198838642,0.00193559739574169
27,36514,91,91,605,21896,96,81,512,1,1,1,19,0,0,13,3,1,168,1,0,0.010989010989011,0.010989010989011,0.010989010989011,0.234567901234568,0,0,0.142857142857143,0.032967032967033,0.010989010989011,2.07407407407407,0.0123456790123457,0,2.73867557649121e-05,2.73867557649121e-05,2.73867557649121e-05,0.000867738399707709,0,0,0.000356027824943857,8.21602672947363e-05,2.73867557649121e-05,0.00767263427109974,4.56704420898794e-05,0
28,8834,90,89,285,56741,96,91,837,75,3,2,843,325,64,120,16,3,1112,219,637,0.842696629213483,0.0337078651685393,0.0224719101123595,9.26373626373626,3.57142857142857,0.703296703296703,1.34831460674157,0.179775280898876,0.0337078651685393,12.2197802197802,2.40659340659341,7,0.00848992528865746,0.000339597011546298,0.000226398007697532,0.0148569817239738,0.00572778061719039,0.00112793218307749,0.0135838804618519,0.00181118406158026,0.000339597011546298,0.0195978216809714,0.00385964293896829,0.0112264500096932
29,7365,90,41,190,3788,64,47,153,1,9,3,0,0,3,4,14,4,0,4,3,0.024390243902439,0.219512195121951,0.0731707317073171,0,0,0.0638297872340425,0.0975609756097561,0.341463414634146,0.0975609756097561,0,0.0851063829787234,0.0638297872340425,0.000135777325186694,0.00122199592668024,0.000407331975560081,0,0,0.000791974656810982,0.000543109300746775,0.00190088255261371,0.000543109300746775,0,0.00105596620908131,0.000791974656810982
30,10967,90,88,328,4019,103,50,157,47,61,4,3,1,1,81,76,6,3,1,2,0.534090909090909,0.693181818181818,0.0454545454545455,0.06,0.02,0.02,0.920454545454545,0.863636363636364,0.0681818181818182,0.06,0.02,0.04,0.00428558402480168,0.00556214096835962,0.00036473055530227,0.000746454341876089,0.000248818113958696,0.000248818113958696,0.00738579374487098,0.00692988055074314,0.000547095832953406,0.000746454341876089,0.000248818113958696,0.000497636227917392
31,3938,90,73,189,4120,90,62,253,0,2,0,1,1,14,3,2,1,2,15,3,0,0.0273972602739726,0,0.0161290322580645,0.0161290322580645,0.225806451612903,0.0410958904109589,0.0273972602739726,0.0136986301369863,0.032258064516129,0.241935483870968,0.0483870967741935,0,0.000507872016251904,0,0.000242718446601942,0.000242718446601942,0.00339805825242718,0.000761808024377857,0.000507872016251904,0.000253936008125952,0.000485436893203883,0.00364077669902913,0.000728155339805825
32,8324,91,74,341,8495,70,58,321,23,0,0,6,0,0,29,1,5,13,0,1,0.310810810810811,0,0,0.103448275862069,0,0,0.391891891891892,0.0135135135135135,0.0675675675675676,0.224137931034483,0,0.0172413793103448,0.00276309466602595,0,0,0.000706297822248381,0,0,0.00348390197020663,0.00012013455069678,0.000600672753483902,0.00153031194820483,0,0.000117716303708064
33,9851,82,28,375,5243,103,15,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,12891,91,91,414,1730,95,15,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8682,55,55,292,8476,92,32,341,0,2,0,166,101,2,5,7,0,195,6,244,0,0.0363636363636364,0,5.1875,3.15625,0.0625,0.0909090909090909,0.127272727272727,0,6.09375,0.1875,7.625,0,0.000230361667818475,0,0.0195847097687588,0.0119159981123171,0.000235960358659745,0.000575904169546188,0.000806265837364663,0,0.0230061349693252,0.000707881075979236,0.0287871637564889
36,10437,16,16,592,9335,90,60,562,7,0,3,1,1,0,11,2,6,5,0,9,0.4375,0,0.1875,0.0166666666666667,0.0166666666666667,0,0.6875,0.125,0.375,0.0833333333333333,0,0.15,0.000670690811535882,0,0.000287438919229664,0.000107123727905731,0.000107123727905731,0,0.0010539427038421,0.000191625946153109,0.000574877838459327,0.000535618639528656,0,0.00096411355115158
37,10748,43,43,368,4301,91,91,171,37,0,2,44,0,0,44,0,3,47,0,0,0.86046511627907,0,0.0465116279069767,0.483516483516484,0,0,1.02325581395349,0,0.0697674418604651,0.516483516483517,0,0,0.00344250093040566,0,0.000186081131373279,0.010230179028133,0,0,0.00409378489021213,0,0.000279121697059918,0.0109276912345966,0,0
38,8196,90,51,500,3739,85,21,216,7,4,0,75,65,0,57,9,0,92,0,171,0.137254901960784,0.0784313725490196,0,3.57142857142857,3.0952380952381,0,1.11764705882353,0.176470588235294,0,4.38095238095238,0,8.14285714285714,0.000854075158613958,0.000488042947779405,0,0.0200588392618347,0.0173843273602568,0,0.00695461200585652,0.00109809663250366,0,0.0246055094945173,0,0.0457341535169832
40,16410,90,52,419,2205,91,33,42,20,3,1,34,0,0,36,6,1,37,0,0,0.384615384615385,0.0576923076923077,0.0192307692307692,1.03030303030303,0,0,0.692307692307692,0.115384615384615,0.0192307692307692,1.12121212121212,0,0,0.0012187690432663,0.000182815356489945,6.0938452163315e-05,0.0154195011337868,0,0,0.00219378427787934,0.00036563071297989,6.0938452163315e-05,0.0167800453514739,0,0
41,129243,91,91,901,111594,94,92,1026,184,121,2,339,66,8,451,267,3,523,39,168,2.02197802197802,1.32967032967033,0.021978021978022,3.68478260869565,0.717391304347826,0.0869565217391304,4.95604395604396,2.93406593406593,0.032967032967033,5.68478260869565,0.423913043478261,1.82608695652174,0.0014236747831604,0.000936220917187004,1.54747259039174e-05,0.00303779773106081,0.000591429646755202,7.16884420309336e-05,0.00348955069133338,0.00206587590817298,2.32120888558761e-05,0.00468663189777228,0.000349481154900801,0.0015054572826496
42,2993,87,60,165,1329,92,12,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4292,90,63,231,2570,107,72,145,0,0,6,0,6,0,0,1,19,1,1,15,0,0,0.0952380952380952,0,0.0833333333333333,0,0,0.0158730158730159,0.301587301587302,0.0138888888888889,0.0138888888888889,0.208333333333333,0,0,0.00139794967381174,0,0.00233463035019455,0,0,0.000232991612301957,0.00442684063373719,0.000389105058365759,0.000389105058365759,0.00583657587548638
44,8855,33,33,234,20325,112,93,363,9,0,0,390,82,12,40,7,0,518,47,161,0.272727272727273,0,0,4.19354838709677,0.881720430107527,0.129032258064516,1.21212121212121,0.212121212121212,0,5.56989247311828,0.505376344086022,1.73118279569892,0.00101637492941841,0,0,0.0191881918819188,0.00403444034440344,0.000590405904059041,0.00451722190852626,0.000790513833992095,0,0.0254858548585486,0.00231242312423124,0.00792127921279213
45,10840,28,21,276,11525,95,22,256,268,29,0,532,291,50,423,150,0,631,217,654,12.7619047619048,1.38095238095238,0,24.1818181818182,13.2272727272727,2.27272727272727,20.1428571428571,7.14285714285714,0,28.6818181818182,9.86363636363636,29.7272727272727,0.0247232472324723,0.00267527675276753,0,0.0461605206073753,0.0252494577006508,0.00433839479392625,0.0390221402214022,0.0138376383763838,0,0.0547505422993492,0.0188286334056399,0.0567462039045553
46,51097,91,91,753,47142,110,92,708,101,26,2,111,2,20,129,27,5,160,31,3,1.10989010989011,0.285714285714286,0.021978021978022,1.20652173913043,0.0217391304347826,0.217391304347826,1.41758241758242,0.296703296703297,0.0549450549450549,1.73913043478261,0.33695652173913,0.0326086956521739,0.00197663267902225,0.000508836135193847,3.91412411687575e-05,0.00235458826524119,4.24250137881295e-05,0.000424250137881295,0.00252461005538486,0.000528406755778226,9.78531029218937e-05,0.00339400110305036,0.000657587713716007,6.36375206821942e-05
47,5966,26,26,312,19862,96,87,620,40,0,50,72,57,5,46,0,115,81,9,83,1.53846153846154,0,1.92307692307692,0.827586206896552,0.655172413793103,0.0574712643678161,1.76923076923077,0,4.42307692307692,0.931034482758621,0.103448275862069,0.954022988505747,0.00670465973851827,0,0.00838082467314784,0.00362501258684926,0.00286980163125566,0.000251736985197865,0.00771035869929601,0,0.01927589674824,0.00407813916020542,0.000453126573356158,0.00417883395428456
48,416,90,44,63,1801,111,17,131,1,0,0,0,0,4,3,0,0,0,4,0,0.0227272727272727,0,0,0,0,0.235294117647059,0.0681818181818182,0,0,0,0.235294117647059,0,0.00240384615384615,0,0,0,0,0.00222098833981122,0.00721153846153846,0,0,0,0.00222098833981122,0
49,2726,71,26,202,5094,92,36,307,2,0,0,198,41,3,3,1,0,255,25,78,0.0769230769230769,0,0,5.5,1.13888888888889,0.0833333333333333,0.115384615384615,0.0384615384615385,0,7.08333333333333,0.694444444444444,2.16666666666667,0.000733675715333822,0,0,0.03886925795053,0.00804868472712996,0.000588928150765607,0.00110051357300073,0.000366837857666911,0,0.0500588928150766,0.00490773458971339,0.0153121319199058
50,3711,91,75,221,14302,94,92,439,5,0,8,15,15,1,6,1,9,19,2,17,0.0666666666666667,0,0.106666666666667,0.16304347826087,0.16304347826087,0.0108695652173913,0.08,0.0133333333333333,0.12,0.206521739130435,0.0217391304347826,0.184782608695652,0.00134734572891404,0,0.00215575316626246,0.00104880436302615,0.00104880436302615,6.992029086841e-05,0.00161681487469685,0.000269469145782808,0.00242522231204527,0.00132848552649979,0.00013984058173682,0.00118864494476297
52,5568,30,30,270,4223,108,14,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,68465,90,90,880,29947,104,68,434,403,26,2,43,1,4,545,46,6,45,7,1,4.47777777777778,0.288888888888889,0.0222222222222222,0.632352941176471,0.0147058823529412,0.0588235294117647,6.05555555555556,0.511111111111111,0.0666666666666667,0.661764705882353,0.102941176470588,0.0147058823529412,0.00588621923610604,0.000379756079748777,2.92120061345213e-05,0.00143587003706548,3.33923264433833e-05,0.000133569305773533,0.00796027167165705,0.00067187614109399,8.76360184035639e-05,0.00150265468995225,0.000233746285103683,3.33923264433833e-05
55,43825,56,56,1660,61155,95,75,1761,78,173,42,725,201,190,259,305,97,1014,506,434,1.39285714285714,3.08928571428571,0.75,9.66666666666667,2.68,2.53333333333333,4.625,5.44642857142857,1.73214285714286,13.52,6.74666666666667,5.78666666666667,0.00177980604677695,0.00394751853964632,0.000958357102110667,0.0118551222303982,0.00328673043904832,0.0031068596190009,0.00590986879634912,0.0069594980034227,0.00221334854535083,0.0165808192298259,0.00827405772218134,0.00709672144550732
57,39627,86,86,1639,47739,95,95,1519,722,492,823,888,1230,570,1399,957,1378,1668,1038,2385,8.3953488372093,5.72093023255814,9.56976744186047,9.34736842105263,12.9473684210526,6,16.2674418604651,11.1279069767442,16.0232558139535,17.5578947368421,10.9263157894737,25.1052631578947,0.0182199005728418,0.0124157771216595,0.0207686678274914,0.0186011437189719,0.0257650977188462,0.0119399233331239,0.0353042117748,0.0241502006207889,0.0347742700683877,0.0349399861748256,0.0217432288066361,0.0499591528938604
58,15953,86,79,396,14904,90,60,338,119,8,1,391,54,6,218,30,5,479,34,102,1.50632911392405,0.10126582278481,0.0126582278481013,6.51666666666667,0.9,0.1,2.75949367088608,0.379746835443038,0.0632911392405063,7.98333333333333,0.566666666666667,1.7,0.00745941202281702,0.00050147307716417,6.26841346455212e-05,0.0262345679012346,0.0036231884057971,0.000402576489533011,0.0136651413527236,0.00188052403936564,0.000313420673227606,0.0321390230810521,0.0022812667740204,0.00684380032206119
59,7089,76,43,507,954,92,9,125,0,0,1,3,0,0,2,0,1,3,0,0,0,0,0.0232558139534884,0.333333333333333,0,0,0.0465116279069767,0,0.0232558139534884,0.333333333333333,0,0,0,0,0.000141063619692481,0.00314465408805031,0,0,0.000282127239384963,0,0.000141063619692481,0.00314465408805031,0,0
60,12574,90,84,383,23282,96,76,508,45,25,0,28,2,21,61,27,0,36,26,2,0.535714285714286,0.297619047619048,0,0.368421052631579,0.0263157894736842,0.276315789473684,0.726190476190476,0.321428571428571,0,0.473684210526316,0.342105263157895,0.0263157894736842,0.0035788134245268,0.00198822968029267,0,0.00120264582080577,8.59032729146981e-05,0.00090198436560433,0.00485128041991411,0.00214728805471608,0,0.00154625891246456,0.00111674254789107,8.59032729146981e-05
61,6491,86,57,492,1317,90,8,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,12797,26,26,474,33238,100,92,1538,10,10,0,138,45,328,30,42,1,252,421,51,0.384615384615385,0.384615384615385,0,1.5,0.489130434782609,3.56521739130435,1.15384615384615,1.61538461538462,0.0384615384615385,2.73913043478261,4.57608695652174,0.554347826086957,0.000781433148394155,0.000781433148394155,0,0.00415187436067152,0.00135387207413202,0.00986822311811782,0.00234429944518246,0.00328201922325545,7.81433148394155e-05,0.0075816836151393,0.0126662254046573,0.00153438835068295
63,18107,66,55,535,24516,97,60,587,155,45,387,420,355,16,316,127,574,599,83,502,2.81818181818182,0.818181818181818,7.03636363636364,7,5.91666666666667,0.266666666666667,5.74545454545455,2.30909090909091,10.4363636363636,9.98333333333333,1.38333333333333,8.36666666666667,0.00856022532722152,0.00248522670790302,0.021372949687966,0.017131669114048,0.0144803393702072,0.000652635013868494,0.0174518142154968,0.00701386204230408,0.0317004473408074,0.0244330233317017,0.00338554413444281,0.020476423560124
64,2584,88,47,162,2711,94,50,161,10,0,0,3,1,0,11,0,0,3,0,1,0.212765957446809,0,0,0.06,0.02,0,0.234042553191489,0,0,0.06,0,0.02,0.00386996904024768,0,0,0.00110660272962007,0.000368867576540022,0,0.00425696594427245,0,0,0.00110660272962007,0,0.000368867576540022
