person_id,visits_w1,day_range_w1,active_days_w1,count_domains_w1,visits_w2,day_range_w2,active_days_w2,count_domains_w2
32-cute-moles-walked-loudly,344,1,2,29,2338,9,9,149
33-high-sparrows-whimpered-carefully,115,1,2,13,219,5,3,27
6-cute-goats-floundered-loudly,4207,90,69,142,3104,92,38,103
7-lucky-bees-listened-eagerly,17051,91,88,698,1523,84,11,136
7-safe-doves-engaged-easily,6432,90,54,459,9085,90,88,341
15-cool-platypuses-cried-loudly,9933,91,85,700,10058,92,86,690
16-fine-parrots-played-quickly,11901,33,28,643,59,1,2,11
20-noisy-foxes-played-quickly,8543,90,90,589,8634,90,90,491
21-quiet-geese-cried-merrily,61,1,1,7,6641,93,76,304
22-fast-butterflies-snuggled-merrily,4052,11,12,271,12053,35,34,521
24-hungry-parrots-drove-carefully,2351,90,51,179,1091,92,23,112
24-soft-peafowl-cuddled-merrily,3678,89,59,282,761,90,69,106
25-fine-ants-talked-carefully,10933,91,89,786,2944,92,37,225
25-polite-otters-cuddled-merrily,2825,9,9,90,233,88,56,19
8-dead-owls-jumped-jovially,7257,90,87,302,5725,22,23,200
13-cold-stoats-engaged-correctly,413,4,2,40,6880,48,25,227
13-tidy-bats-knitted-quietly,13069,90,85,908,4481,76,75,333
18-important-snakes-snuggled-easily,11927,90,89,530,4974,14,15,255
2-far-deer-whimpered-patiently,8887,90,90,309,17521,91,56,656
20-clear-snails-whimpered-easily,12043,83,63,626,15206,91,74,778
22-good-butterflies-fought-loudly,1090,2,2,105,37,1,1,11
28-bright-parrots-knitted-quietly,2916,81,17,281,6893,62,61,868
29-comfortable-horses-danced-cordially,6743,90,59,497,5407,90,28,413
31-dapper-peafowl-played-loudly,7720,90,91,478,9103,90,91,537
31-good-weasels-walked-eagerly,19763,90,89,710,23633,90,90,796
8-sad-greg-fought-carefully,14922,91,88,541,13632,91,83,511
9-comfortable-cockles-engaged-quietly,12872,91,86,697,16226,90,87,749
10-warm-rabbits-listened-cordially,712,4,5,97,3414,19,20,264
13-able-clams-played-fast,11841,43,43,754,17573,90,85,944
13-far-squirrels-sang-patiently,0,0,0,0,10027,91,88,449
14-hard-moles-played-quickly,21993,91,89,733,4157,89,87,256
15-full-stoats-knitted-eagerly,1328,90,80,123,280,25,10,49
16-far-moles-knitted-quickly,38658,91,92,1759,32366,90,91,2082
17-sad-cattle-danced-fast,210,17,9,28,1647,82,19,89
18-important-parrots-talked-merrily,7608,66,34,428,19101,82,56,956
18-whole-donkeys-sat-loudly,0,0,0,0,22586,91,75,839
19-free-deer-engaged-quickly,8908,90,85,424,8079,45,45,255
19-share-gerbils-played-eagerly,10538,24,24,469,1364,64,62,99
2-expensive-geese-sat-loudly,1434,21,21,58,204,6,6,29
21-cute-frogs-cried-loudly,33284,91,92,1510,27346,90,89,1387
26-strong-deer-ran-eagerly,0,0,0,0,5177,91,28,483
28-funny-horses-listened-fast,6726,91,92,303,10172,90,88,310
28-sour-deer-kissed-fast,26924,91,90,1227,14678,90,80,563
3-famous-platypuses-talked-fast,14065,90,91,742,6603,88,72,507
3-light-pheasants-kissed-merrily,74185,91,91,2089,4953,89,15,556
3-narrow-platypuses-snuggled-patiently,4592,90,84,217,3037,90,78,147
3-strong-gerbils-whimpered-cordially,24729,91,91,1414,20959,90,85,1271
3-weak-kingfishers-listened-quickly,2244,91,89,141,4807,90,83,135
32-lazy-mice-danced-easily,46,16,14,12,323,45,45,33
32-sweet-rabbits-went-patiently,5150,90,88,206,2473,90,79,153
33-brave-platypuses-whispered-quickly,7382,90,69,567,600,17,9,79
33-good-salmons-played-patiently,4420,6,6,217,8904,10,10,303
34-thick-hawks-loitered-eagerly,15081,91,89,591,11583,89,82,547
4-cool-badgers-hid-quickly,983,9,9,102,801,8,9,71
8-dapper-pigs-played-correctly,9779,90,86,452,3867,90,61,290
8-short-hedgehogs-sang-quietly,17306,91,91,876,5689,90,91,400
8-warm-bats-listened-eagerly,0,0,0,0,12530,91,91,970
10-important-swans-kissed-easily,14758,91,87,615,5907,29,26,421
10-large-robins-danced-quickly,8461,91,87,530,7314,89,84,345
10-light-snails-walked-correctly,19290,91,92,1254,1320,89,16,236
11-bitter-rooks-whispered-eagerly,2047,82,82,192,12050,59,60,589
12-dead-platypuses-played-carefully,33245,91,92,732,28739,89,84,573
13-careful-parrots-went-easily,950,2,3,86,113,1,1,12
13-fat-badgers-ran-quietly,2702,84,64,101,2133,90,54,143
13-free-squirrels-cuddled-easily,12905,91,84,973,17205,89,85,1300
14-far-newts-hugged-quietly,28717,91,90,1644,32541,88,89,2058
14-share-pheasants-whimpered-easily,30326,91,92,666,24830,89,89,564
15-hungry-pigeons-went-quickly,10445,89,59,403,9384,87,57,353
15-warm-spiders-snuggled-easily,3766,61,62,227,584,34,30,51
16-good-frogs-whimpered-fast,41415,91,91,1793,31718,89,88,1290
16-near-pikes-hopped-easily,1250,91,86,160,1454,89,75,154
19-brave-newts-listened-carefully,429,1,2,57,4989,89,35,325
19-free-kingfishers-engaged-merrily,0,0,0,0,22226,90,89,787
19-good-ants-sang-merrily,1324,5,5,113,23,89,9,10
19-great-dragonflies-engaged-correctly,9959,83,67,564,2913,27,26,219
19-strong-badgers-whimpered-easily,1381,17,15,106,3191,38,38,173
2-thick-clams-whimpered-easily,34495,91,92,1160,8542,89,89,357
20-free-ants-walked-easily,9903,91,68,745,11470,89,84,898
20-strong-pigeons-went-jovially,2436,15,16,191,6189,36,34,404
21-dead-badgers-sat-carefully,0,0,0,0,7615,90,88,425
22-full-rats-sang-quickly,29127,91,92,875,5366,89,85,330
23-hard-greg-walked-carefully,30683,90,91,663,1007,7,7,92
23-whole-starlings-fought-quietly,6173,91,91,358,6285,89,89,312
24-far-crows-hid-cordially,426,85,35,72,902,89,48,60
24-good-stoats-cuddled-carefully,0,0,0,0,2827,90,72,288
27-healthy-robins-felt-cordially,0,0,0,0,15795,90,91,459
28-cloudy-swans-felt-carefully,19931,91,88,953,4081,89,90,353
28-loud-toads-engaged-correctly,15099,92,90,416,7845,89,69,231
29-far-newts-listened-correctly,1126,3,3,108,5059,68,69,234
3-afraid-owls-danced-quickly,7027,90,37,561,1398,90,78,160
3-bitter-greg-hopped-eagerly,3892,11,11,182,22653,89,88,566
3-long-hedgehogs-went-loudly,5141,94,95,325,14292,80,40,789
3-long-otters-married-patiently,4886,16,16,381,13291,53,52,788
31-low-lobsters-whimpered-patiently,8258,90,89,459,9609,89,86,460
32-clever-foxes-jumped-loudly,4478,90,61,125,1208,30,21,36
34-light-otters-played-easily,2669,91,82,154,3394,89,82,272
6-noisy-pigs-knitted-easily,1132,9,8,346,2451,34,33,765
7-short-snails-kissed-quickly,9483,91,71,404,7663,89,72,347
9-loud-mice-jumped-merrily,441,1,1,42,44589,90,90,1648
11-able-swans-sat-fast,11091,91,91,561,10548,87,87,714
11-high-butterflies-hopped-jovially,2790,91,88,201,1371,87,83,163
11-lucky-spiders-cried-cordially,8848,90,77,792,1860,83,34,223
12-fresh-trouts-sat-correctly,6409,14,15,449,3490,16,17,335
13-weak-ferrets-felt-easily,13662,91,92,660,19385,88,88,785
14-careful-crows-married-carefully,1258,91,67,128,3840,88,56,184
15-short-bats-played-eagerly,10061,75,54,467,1072,26,7,39
15-short-trouts-whimpered-easily,2065,59,15,174,10969,88,50,421
16-salty-butterflies-floundered-loudly,14992,90,87,532,2513,25,25,202
18-heavy-stoats-hopped-easily,23007,91,87,925,12812,88,75,603
18-weak-bats-ran-loudly,2713,91,64,190,6726,87,80,431
20-windy-rooks-floundered-merrily,9469,91,58,914,6204,87,88,700
21-late-hawks-hopped-quietly,2367,34,34,302,3310,29,29,296
21-old-snails-played-quickly,11374,91,91,461,6973,88,88,343
24-strong-crows-danced-carefully,2372,13,13,136,7281,35,35,221
26-sour-swans-hopped-eagerly,7996,29,29,345,232,1,2,35
28-rich-hares-cuddled-carefully,7008,91,85,302,2836,87,72,168
28-tidy-hedgehogs-cried-quietly,8720,91,79,666,8627,87,73,380
29-hard-oysters-danced-jovially,19993,91,91,797,14914,87,88,844
29-long-pikes-felt-carefully,453,87,55,37,54,84,11,16
30-important-rats-loitered-easily,7187,89,19,340,38774,86,52,1136
30-proud-trouts-engaged-carefully,8833,91,68,601,7143,87,80,549
31-cold-herons-knitted-easily,7344,90,66,427,9233,88,80,417
31-free-clams-married-merrily,2966,90,54,236,5421,48,43,317
31-good-rats-whispered-quickly,6767,48,46,283,19813,85,85,525
31-windy-foxes-jumped-carefully,5669,91,79,290,3825,88,72,172
33-happy-dragonflies-played-loudly,5699,91,90,378,4798,88,85,335
34-early-donkeys-walked-easily,4162,31,32,317,3189,75,53,254
34-lazy-newts-hopped-eagerly,6025,91,67,343,490,88,5,46
4-salty-pigeons-fought-loudly,6263,60,32,333,15663,88,80,567
5-important-weasels-hid-eagerly,24869,91,91,530,23796,88,89,716
9-close-trouts-jumped-patiently,23646,90,83,1005,49,1,1,12
9-far-trouts-hid-quickly,4346,12,12,386,1148,88,19,169
10-whole-trouts-played-loudly,7525,91,70,483,15699,87,76,643
13-happy-guinea-pigs-loitered-carefully,9735,90,62,841,5504,86,39,671
14-dirty-peafowl-played-correctly,2078,9,10,220,12365,87,87,770
18-low-pigeons-danced-loudly,5966,91,63,547,11005,87,87,813
19-tidy-parrots-floundered-carefully,13893,91,91,473,13664,87,87,436
27-interesting-oysters-drove-easily,8368,90,82,447,11679,88,86,591
3-able-squirrels-kissed-patiently,2898,24,23,185,7425,42,43,391
3-dark-snails-cuddled-easily,60,69,3,17,62,86,9,8
32-salty-mussles-hopped-correctly,20628,27,27,447,9177,26,26,353
33-dark-ducks-went-easily,2206,90,67,174,540,33,13,61
33-whole-hares-felt-correctly,0,0,0,0,370,88,9,40
34-cold-trouts-jumped-correctly,17769,90,89,985,6337,24,25,461
34-full-chickens-sang-eagerly,200,17,12,53,361,52,29,96
4-afraid-crows-floundered-easily,1822,88,27,92,27,3,2,10
5-whole-hawks-kissed-loudly,336,2,2,84,17028,87,70,1118
8-busy-rabbits-hid-quietly,45633,91,91,992,33832,87,88,794
8-long-oysters-sat-patiently,2299,16,15,323,11548,86,74,823
8-salty-guinea-pigs-ran-carefully,9857,91,88,855,12961,87,88,1113
9-high-sheep-played-quickly,11437,91,58,643,7943,87,82,476
9-rich-hedgehogs-married-loudly,30699,90,90,995,238,12,8,32
9-sad-greg-knitted-easily,10885,91,90,421,6066,87,77,300
10-expensive-salmons-felt-quickly,379,191,20,29,3,1,1,2
10-long-hares-whispered-patiently,4648,91,58,270,4331,86,85,242
11-clean-pheasants-hugged-fast,5653,91,89,308,5031,86,75,353
12-deep-sparrows-kissed-cordially,3570,91,67,196,10313,85,68,533
14-deep-badgers-danced-quietly,34025,92,93,1971,15937,86,87,761
16-fine-rabbits-sat-fast,6242,62,56,417,8382,86,74,555
19-hungry-salmons-danced-quietly,3852,79,60,146,10616,86,76,367
2-windy-hares-hopped-merrily,13407,90,91,1022,9961,72,73,754
23-healthy-ferrets-sang-quickly,16670,91,91,877,13516,86,78,588
24-free-oysters-loitered-fast,16795,90,79,585,7459,85,45,289
26-funny-moles-whimpered-easily,2391,91,73,179,4601,86,47,307
26-interesting-hedgehogs-hid-jovially,21562,91,85,1033,27350,86,84,1038
29-dark-platypuses-sang-carefully,12940,91,82,521,20582,86,87,707
29-far-rabbits-kissed-carefully,22016,91,91,670,21801,86,87,707
29-safe-guinea-pigs-snuggled-correctly,13392,43,30,874,14399,80,45,999
30-clever-trouts-cuddled-carefully,3663,56,47,262,4675,86,65,280
32-fast-deer-hid-quietly,5096,18,19,244,1677,9,7,136
33-close-starlings-sat-eagerly,8627,90,70,605,2225,15,11,141
33-dark-rooks-walked-patiently,3265,20,19,242,3347,86,46,151
34-able-robins-whimpered-eagerly,3197,15,15,219,651,7,7,97
34-sweet-geese-listened-quickly,2905,5,6,271,20403,86,82,1116
4-hungry-owls-knitted-easily,7659,56,42,314,15512,86,77,769
5-dirty-hares-married-fast,4087,91,83,334,8757,86,82,457
6-dry-rabbits-fought-loudly,2700,91,77,337,477,68,45,71
6-far-snails-cried-patiently,3815,35,26,219,6557,86,61,323
7-lazy-sparrows-cried-fast,1247,62,19,82,3431,86,48,208
8-fresh-owls-married-jovially,12372,90,87,377,1719,3,3,63
8-large-butterflies-whimpered-quietly,28379,91,91,885,11147,86,75,416
9-dapper-hedgehogs-cried-jovially,7168,17,17,353,6586,23,20,294
9-fresh-deer-whispered-patiently,3171,90,91,336,3278,39,26,209
9-quiet-rooks-engaged-fast,9403,91,55,443,18369,86,76,890
9-sad-dragonflies-engaged-fast,6070,91,49,442,3750,83,51,325
13-cloudy-snails-whimpered-correctly,9690,91,88,461,7378,85,84,395
15-happy-foxes-cried-easily,7541,91,91,425,9251,85,86,526
15-interesting-hawks-danced-easily,2114,18,15,144,2022,11,12,154
2-free-ants-snuggled-loudly,1315,21,16,114,170,3,3,28
2-good-ants-loitered-fast,19215,91,91,891,13955,85,84,860
2-soft-rabbits-engaged-quickly,21719,70,47,885,22258,44,43,860
20-fair-doves-danced-easily,12091,91,91,594,11731,85,83,466
21-dapper-butterflies-loitered-quickly,1733,55,33,101,3274,84,51,221
22-lucky-lobsters-floundered-merrily,6426,30,30,670,2869,7,7,78
24-tidy-pigs-felt-fast,729,90,56,101,1419,51,38,120
28-comfortable-owls-kissed-loudly,269,19,19,41,194,19,18,53
29-hard-dragonflies-whimpered-fast,26565,91,91,878,19573,85,84,890
3-funny-clams-sat-merrily,20302,91,82,1119,20309,85,84,1322
31-fat-rabbits-floundered-jovially,7964,44,39,681,5547,39,35,413
31-share-stoats-married-carefully,20244,91,88,1314,17344,85,75,1076
32-careful-snails-hid-patiently,8173,90,67,595,7895,84,74,527
32-lucky-robins-hopped-cordially,12257,91,92,663,16533,85,85,829
34-deep-kingfishers-hopped-patiently,44891,91,90,1436,1430,83,59,171
34-full-hares-walked-patiently,14481,91,90,895,13847,86,86,755
34-heavy-swans-talked-easily,41397,91,92,2267,35521,85,86,1584
34-small-crows-went-carefully,525,6,7,33,11883,85,77,441
34-thick-snakes-fought-carefully,420,90,81,58,282,1,1,69
4-dapper-newts-jumped-cordially,13757,65,65,801,14059,57,58,881
5-noisy-bats-drove-easily,18,3,4,6,3109,86,79,347
7-large-stoats-drove-loudly,2406,87,33,102,4586,50,45,183
7-old-frogs-drove-merrily,243,6,7,31,2841,84,58,125
7-whole-greg-played-eagerly,4221,91,56,228,6236,86,76,361
9-brave-sheep-knitted-loudly,11008,90,88,514,3096,71,57,285
10-hungry-frogs-loitered-carefully,12925,91,90,359,9184,84,85,300
11-fat-rooks-drove-quickly,13663,91,92,707,14517,84,83,672
12-bad-kingfishers-cuddled-easily,10508,89,47,591,3854,83,60,262
13-dark-newts-ran-quickly,5384,32,32,323,2490,11,12,152
14-sour-oysters-listened-merrily,3527,90,42,198,982,29,15,69
16-fast-ducks-knitted-eagerly,16166,57,39,830,3580,13,10,336
16-low-parrots-kissed-patiently,9345,90,76,537,1167,17,12,140
16-lucky-moths-sang-easily,7630,90,75,375,3788,73,61,234
17-bitter-platypuses-engaged-jovially,3937,91,92,426,4390,84,85,481
17-cute-chickens-hid-easily,8261,90,82,518,2033,83,31,197
17-free-parrots-hid-easily,6138,13,14,294,22400,49,43,680
19-fat-gerbils-married-cordially,937,42,33,55,2568,83,68,87
19-healthy-platypuses-ran-quietly,12978,91,91,677,6274,83,70,447
2-empty-bees-sat-correctly,18874,91,89,1217,11106,84,78,869
20-cool-snakes-sang-loudly,13264,37,38,578,6370,23,23,323
21-clean-rabbits-kissed-carefully,14006,91,80,652,12445,84,70,695
21-heavy-butterflies-drove-loudly,1039,90,88,148,5302,17,18,441
21-rich-newts-felt-merrily,0,0,0,0,6456,85,73,426
22-cool-parrots-whimpered-cordially,22048,91,91,1165,3242,84,29,434
24-empty-otters-hugged-quickly,2163,15,12,146,9938,62,54,524
26-dry-butterflies-loitered-easily,8692,78,55,519,2961,84,20,257
26-exciting-owls-snuggled-fast,46199,92,92,2028,27883,84,84,1341
27-old-rabbits-engaged-cordially,10127,91,86,629,6573,84,85,473
28-hard-sheep-snuggled-easily,30214,91,74,1075,2,1,1,2
29-interesting-peafowl-engaged-loudly,10168,90,87,509,6700,83,77,349
3-comfortable-butterflies-snuggled-fast,6432,91,83,466,17670,84,84,1083
3-high-crows-cried-cordially,14144,91,92,799,13350,83,84,768
30-fat-newts-talked-jovially,4930,91,89,288,3348,84,83,216
30-rich-crows-engaged-fast,6556,56,56,291,9552,51,49,330
32-strong-pigs-cuddled-easily,7945,91,72,453,9313,84,83,586
34-comfortable-dragonflies-whispered-correctly,15334,91,92,924,17492,84,85,979
34-hungry-rats-ran-easily,14847,90,72,734,10749,69,54,530
4-careful-sheep-sang-patiently,34906,91,92,1311,21008,84,85,771
4-comfortable-platypuses-drove-carefully,37,70,15,6,68,63,41,9
4-cute-sheep-played-loudly,22246,90,89,1105,8490,39,38,589
4-deep-goats-went-easily,14269,91,91,618,16738,83,83,726
4-strong-pigeons-floundered-carefully,7066,80,42,397,9003,84,53,633
5-narrow-frogs-cried-easily,12777,91,69,372,6328,84,62,215
10-bitter-weasels-jumped-correctly,73381,91,91,276,55376,83,84,431
13-cute-horses-kissed-fast,24569,91,80,932,10720,83,44,549
15-dangerous-spiders-fought-carefully,7167,91,92,397,10495,83,82,487
15-fresh-gerbils-fought-loudly,6230,85,58,267,8268,83,84,458
17-happy-frogs-went-loudly,3286,62,63,265,1858,80,44,81
18-thirsty-starlings-hid-cordially,10063,91,76,502,4984,83,50,361
19-exciting-bees-played-correctly,19577,91,92,745,8160,83,82,374
2-high-geese-hopped-quietly,2493,13,10,221,34,1,2,7
2-low-frogs-jumped-eagerly,9466,91,88,484,7365,83,72,372
20-afraid-pigeons-hugged-cordially,2773,90,37,190,956,59,21,112
20-hungry-chickens-listened-loudly,12424,90,85,493,2066,14,14,115
20-share-dogs-whimpered-loudly,4545,91,62,359,2423,83,44,213
22-old-sparrows-sat-easily,219,84,13,15,35,73,8,5
22-useful-ferrets-married-eagerly,1279,89,24,123,1475,83,50,253
24-thirsty-peafowl-knitted-fast,231,60,13,19,156,77,12,21
25-important-oysters-listened-quickly,5219,51,50,341,2064,78,30,195
26-hard-flies-kissed-easily,10095,91,90,487,9722,83,84,432
30-cool-dogs-went-carefully,101,90,7,17,36,77,4,6
30-strong-foxes-loitered-loudly,1475,90,84,165,1112,73,20,83
30-strong-sheep-hugged-fast,12823,91,80,672,18934,83,71,858
31-whole-owls-jumped-patiently,8137,85,70,427,5004,83,55,376
33-quick-stoats-hugged-patiently,1451,12,13,92,1314,83,64,99
5-polite-badgers-hopped-merrily,9415,90,91,477,7281,62,57,524
7-weak-dragonflies-whimpered-carefully,21838,90,90,1223,17091,84,81,943
8-bright-robins-felt-easily,15319,91,92,885,30308,83,83,1610
9-great-parrots-whimpered-merrily,16846,91,87,588,7108,83,70,330
9-hungry-frogs-knitted-patiently,2499,91,46,174,3824,81,58,179
10-polite-goats-talked-easily,14516,90,84,630,19753,81,73,788
11-old-platypuses-talked-eagerly,9695,90,72,340,2519,82,32,130
14-clear-pikes-floundered-quietly,5743,48,40,286,2982,31,26,141
18-soft-clams-hugged-easily,13916,91,92,1007,8104,82,80,590
21-busy-gerbils-sat-correctly,10942,69,70,590,21432,82,83,1012
22-cloudy-horses-talked-eagerly,9536,64,62,411,9797,82,82,475
25-fast-sparrows-sang-quickly,0,0,0,0,33,83,8,13
26-short-weasels-played-merrily,21745,89,65,387,1621,81,38,83
26-slow-moths-cried-quietly,1386,91,47,70,690,82,31,36
29-happy-horses-listened-loudly,13672,90,89,334,8138,59,57,251
31-light-pigs-ran-quietly,17384,73,73,673,21762,82,83,774
10-early-hares-hopped-quickly,2554,15,15,183,7011,81,82,417
12-fat-rooks-whimpered-loudly,24709,90,91,1017,799,5,5,54
13-whole-weasels-kissed-cordially,41455,91,92,1565,3354,81,28,342
14-long-hawks-jumped-merrily,12460,91,90,478,1520,81,25,88
16-tidy-ducks-danced-eagerly,14501,91,91,728,2615,81,79,136
16-windy-dragonflies-played-carefully,8871,78,79,383,3262,53,53,193
18-narrow-moles-sat-cordially,7931,91,84,342,4474,81,68,279
21-flat-flies-loitered-correctly,17337,89,67,584,7505,81,82,467
22-thick-parrots-walked-quietly,3993,26,27,352,5446,81,72,415
30-deep-moles-walked-correctly,10006,91,91,681,3778,81,73,274
31-sour-parrots-sang-fast,1102,88,46,64,3,1,1,2
32-bitter-lobsters-snuggled-merrily,3403,91,88,234,1701,81,50,182
33-narrow-robins-whispered-cordially,10861,90,84,424,3360,25,25,174
6-sad-bees-talked-cordially,530,10,10,130,4422,81,76,524
7-fine-cockles-hopped-jovially,5392,54,55,269,917,14,15,102
9-clean-rooks-cried-quietly,10943,91,85,627,8698,81,71,560
19-free-newts-floundered-loudly,5523,25,26,317,25295,80,81,815
20-cool-deer-walked-carefully,9369,91,62,652,1506,78,19,191
27-dead-snakes-played-merrily,3543,90,88,275,1147,78,17,88
34-dead-owls-played-easily,0,0,0,0,3036,78,59,274
30-bitter-greg-cuddled-fast,10785,91,80,484,2851,69,57,163
8-great-hawks-fought-carefully,0,0,0,0,19351,69,70,748
22-short-clams-danced-merrily,2323,87,32,147,5424,65,56,366
