"","zip","city","state","latitude","longitude","timezone","dst"
"1","00210","Portsmouth","NH",43.005895,-71.013202,-5,TRUE
"2","00211","Portsmouth","NH",43.005895,-71.013202,-5,TRUE
"3","00212","Portsmouth","NH",43.005895,-71.013202,-5,TRUE
"4","00213","Portsmouth","NH",43.005895,-71.013202,-5,TRUE
"5","00214","Portsmouth","NH",43.005895,-71.013202,-5,TRUE
"6","00215","Portsmouth","NH",43.005895,-71.013202,-5,TRUE
"7","00501","Holtsville","NY",40.922326,-72.637078,-5,TRUE
"8","00544","Holtsville","NY",40.922326,-72.637078,-5,TRUE
"9","00601","Adjuntas","PR",18.180103,-66.74947,-4,FALSE
"10","00602","Aguada","PR",18.363285,-67.18024,-4,FALSE
"11","00603","Aguadilla","PR",18.448619,-67.13422,-4,FALSE
"12","00604","Aguadilla","PR",18.498987,-67.13699,-4,FALSE
"13","00605","Aguadilla","PR",18.465162,-67.141486,-4,FALSE
"14","00606","Maricao","PR",18.182151,-66.9588,-4,FALSE
"15","00607","Aguas Buenas","PR",18.256995,-66.104657,-4,FALSE
"16","00609","Aibonito","PR",18.142002,-66.273278,-4,FALSE
"17","00610","Anasco","PR",18.288319,-67.13604,-4,FALSE
"18","00611","Angeles","PR",18.279531,-66.80217,-4,FALSE
"19","00612","Arecibo","PR",18.449732,-66.69879,-4,FALSE
"20","00613","Arecibo","PR",18.458093,-66.732732,-4,FALSE
"21","00614","Arecibo","PR",18.429675,-66.674506,-4,FALSE
"22","00615","Arroyo","PR",17.96977,-66.061459,-4,FALSE
"23","00616","Bajadero","PR",18.426748,-66.67669,-4,FALSE
"24","00617","Barceloneta","PR",18.455499,-66.55575,-4,FALSE
"25","00618","Barranquitas","PR",18.185463,-66.305827,-4,FALSE
"26","00622","Boqueron","PR",18.003125,-67.16745,-4,FALSE
"27","00623","Cabo Rojo","PR",18.08643,-67.15222,-4,FALSE
"28","00624","Penuelas","PR",18.055399,-66.72602,-4,FALSE
"29","00625","Caguas","PR",18.232109,-66.039087,-4,FALSE
"30","00626","Caguas","PR",18.235003,-66.037318,-4,FALSE
"31","00627","Camuy","PR",18.435246,-66.85644,-4,FALSE
"32","00631","Castaner","PR",18.186739,-66.85174,-4,FALSE
"33","00633","Cayey","PR",18.194527,-66.183467,-4,FALSE
"34","00634","Cayey","PR",18.111528,-66.177083,-4,FALSE
"35","00635","Ceiba","PR",18.262902,-65.646529,-4,FALSE
"36","00636","Rosario","PR",18.113284,-67.039706,-4,FALSE
"37","00637","Sabana Grande","PR",18.073078,-66.94864,-4,FALSE
"38","00638","Ciales","PR",18.308139,-66.49835,-4,FALSE
"39","00639","Cidra","PR",18.176094,-66.158728,-4,FALSE
"40","00640","Coamo","PR",18.077197,-66.359104,-4,FALSE
"41","00641","Utuado","PR",18.268896,-66.70519,-4,FALSE
"42","00643","Corozal","PR",18.341254,-66.315194,-4,FALSE
"43","00644","Coto Laurel","PR",18.049577,-66.55218,-4,FALSE
"44","00645","Culebra","PR",18.308508,-65.304732,-4,FALSE
"45","00646","Dorado","PR",18.442798,-66.27689,-4,FALSE
"46","00647","Ensenada","PR",17.964529,-66.93993,-4,FALSE
"47","00648","Fajardo","PR",18.333038,-65.656182,-4,FALSE
"48","00650","Florida","PR",18.363331,-66.56773,-4,FALSE
"49","00652","Garrochales","PR",18.457453,-66.61217,-4,FALSE
