"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","page_center_w1","page_left_w1","page_right_w1","domain_center_w1","domain_left_w1","domain_right_w1","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1"
1,1799,5,5,156,2,0,0,3,0,0,0.4,0,0,0.6,0,0,0.00111172873818788,0,0,0.00166759310728182,0,0
2,14879,34,34,635,10,3,3,53,15,6,0.294117647058824,0.0882352941176471,0.0882352941176471,1.55882352941176,0.441176470588235,0.176470588235294,0.00067208817796895,0.000201626453390685,0.000201626453390685,0.00356206734323543,0.00100813226695342,0.00040325290678137
3,45446,92,92,696,68,1,2,378,6,3,0.739130434782609,0.0108695652173913,0.0217391304347826,4.10869565217391,0.0652173913043478,0.0326086956521739,0.00149628130088457,2.20041367777142e-05,4.40082735554284e-05,0.00831756370197597,0.000132024820666285,6.60124103331426e-05
4,9674,90,82,798,2,1,0,7,4,2,0.024390243902439,0.0121951219512195,0,0.0853658536585366,0.0487804878048781,0.024390243902439,0.000206739714699194,0.000103369857349597,0,0.000723589001447178,0.000413479429398387,0.000206739714699194
5,11090,89,68,483,3,5,0,4,6,1,0.0441176470588235,0.0735294117647059,0,0.0588235294117647,0.0882352941176471,0.0147058823529412,0.000270513976555455,0.000450856627592426,0,0.00036068530207394,0.000541027953110911,9.01713255184851e-05
6,7840,32,22,324,6,7,1,19,13,3,0.272727272727273,0.318181818181818,0.0454545454545455,0.863636363636364,0.590909090909091,0.136363636363636,0.00076530612244898,0.000892857142857143,0.000127551020408163,0.0024234693877551,0.00165816326530612,0.00038265306122449
7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,4033,90,46,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,44,35,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,47438,91,91,1036,505,164,6,1315,522,17,5.54945054945055,1.8021978021978,0.0659340659340659,14.4505494505495,5.73626373626374,0.186813186813187,0.0106454740924997,0.00345714406172267,0.000126480880306927,0.0277203929339348,0.0110038365867026,0.00035836249420296
11,3609,32,16,244,0,1,0,12,1,0,0,0.0625,0,0.75,0.0625,0,0,0.00027708506511499,0,0.00332502078137988,0.00027708506511499,0
12,12840,38,26,484,62,1,53,184,3,116,2.38461538461538,0.0384615384615385,2.03846153846154,7.07692307692308,0.115384615384615,4.46153846153846,0.00482866043613707,7.78816199376947e-05,0.00412772585669782,0.0143302180685358,0.000233644859813084,0.00903426791277259
13,12944,90,84,458,17,2,0,33,3,0,0.202380952380952,0.0238095238095238,0,0.392857142857143,0.0357142857142857,0,0.00131334981458591,0.00015451174289246,0,0.00254944375772559,0.00023176761433869,0
14,44912,90,88,1034,47,0,2,74,5,5,0.534090909090909,0,0.0227272727272727,0.840909090909091,0.0568181818181818,0.0568181818181818,0.00104649091556822,0,4.4531528322052e-05,0.00164766654791592,0.00011132882080513,0.00011132882080513
15,3233,50,39,257,0,0,1,0,0,1,0,0,0.0256410256410256,0,0,0.0256410256410256,0,0,0.000309310238168883,0,0,0.000309310238168883
16,12027,90,76,320,3,2,0,12,3,1,0.0394736842105263,0.0263157894736842,0,0.157894736842105,0.0394736842105263,0.0131578947368421,0.000249438762783737,0.000166292508522491,0,0.000997755051134946,0.000249438762783737,8.31462542612455e-05
17,3177,91,89,265,2,2,4,5,5,5,0.0224719101123595,0.0224719101123595,0.0449438202247191,0.0561797752808989,0.0561797752808989,0.0561797752808989,0.000629524708844822,0.000629524708844822,0.00125904941768964,0.00157381177211206,0.00157381177211206,0.00157381177211206
18,2531,29,29,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,35430,90,87,641,165,65,2,459,98,3,1.89655172413793,0.747126436781609,0.0229885057471264,5.27586206896552,1.1264367816092,0.0344827586206897,0.00465707027942422,0.00183460344340954,5.64493367202935e-05,0.0129551227773074,0.00276601749929438,8.46740050804403e-05
21,30816,91,91,768,11,60,2,18,153,2,0.120879120879121,0.659340659340659,0.021978021978022,0.197802197802198,1.68131868131868,0.021978021978022,0.000356957424714434,0.00194704049844237,6.49013499480789e-05,0.00058411214953271,0.00496495327102804,6.49013499480789e-05
22,16722,91,85,891,17,8,7,76,30,37,0.2,0.0941176470588235,0.0823529411764706,0.894117647058824,0.352941176470588,0.435294117647059,0.00101662480564526,0.000478411673244827,0.000418610214089224,0.00454491089582586,0.0017940437746681,0.00221265398875733
23,1637,92,92,144,33,0,0,36,0,0,0.358695652173913,0,0,0.391304347826087,0,0,0.0201588271227856,0,0,0.0219914477703115,0,0
24,4602,91,89,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,14458,91,90,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,46979,88,88,627,180,0,1,264,15,1,2.04545454545455,0,0.0113636363636364,3,0.170454545454545,0.0113636363636364,0.0038314991804849,0,2.12861065582494e-05,0.00561953213137785,0.000319291598373741,2.12861065582494e-05
27,36514,91,91,605,1,1,1,13,3,1,0.010989010989011,0.010989010989011,0.010989010989011,0.142857142857143,0.032967032967033,0.010989010989011,2.73867557649121e-05,2.73867557649121e-05,2.73867557649121e-05,0.000356027824943857,8.21602672947363e-05,2.73867557649121e-05
28,8834,90,89,285,30,3,8,79,16,12,0.337078651685393,0.0337078651685393,0.0898876404494382,0.887640449438202,0.179775280898876,0.134831460674157,0.00339597011546298,0.000339597011546298,0.000905592030790129,0.00894272130405253,0.00181118406158026,0.00135838804618519
29,7365,90,41,190,1,9,3,4,14,4,0.024390243902439,0.219512195121951,0.0731707317073171,0.0975609756097561,0.341463414634146,0.0975609756097561,0.000135777325186694,0.00122199592668024,0.000407331975560081,0.000543109300746775,0.00190088255261371,0.000543109300746775
30,10967,90,88,328,47,61,4,85,76,9,0.534090909090909,0.693181818181818,0.0454545454545455,0.965909090909091,0.863636363636364,0.102272727272727,0.00428558402480168,0.00556214096835962,0.00036473055530227,0.00775052430017325,0.00692988055074314,0.000820643749430108
31,3938,90,73,189,0,2,0,3,2,1,0,0.0273972602739726,0,0.0410958904109589,0.0273972602739726,0.0136986301369863,0,0.000507872016251904,0,0.000761808024377857,0.000507872016251904,0.000253936008125952
32,8324,91,74,341,2,0,0,8,1,5,0.027027027027027,0,0,0.108108108108108,0.0135135135135135,0.0675675675675676,0.000240269101393561,0,0,0.000961076405574243,0.00012013455069678,0.000600672753483902
33,9851,82,28,375,0,0,2,9,0,2,0,0,0.0714285714285714,0.321428571428571,0,0.0714285714285714,0,0,0.000203025073596589,0.000913612831184651,0,0.000203025073596589
34,12891,91,91,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8682,55,55,292,0,2,0,5,7,0,0,0.0363636363636364,0,0.0909090909090909,0.127272727272727,0,0,0.000230361667818475,0,0.000575904169546188,0.000806265837364663,0
36,10437,16,16,592,3,0,3,7,2,6,0.1875,0,0.1875,0.4375,0.125,0.375,0.000287438919229664,0,0.000287438919229664,0.000670690811535882,0.000191625946153109,0.000574877838459327
37,10748,43,43,368,9,0,2,16,0,3,0.209302325581395,0,0.0465116279069767,0.372093023255814,0,0.0697674418604651,0.000837365091179754,0,0.000186081131373279,0.00148864905098623,0,0.000279121697059918
38,8196,90,51,500,6,4,0,56,9,0,0.117647058823529,0.0784313725490196,0,1.09803921568627,0.176470588235294,0,0.000732064421669107,0.000488042947779405,0,0.00683260126891166,0.00109809663250366,0
39,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,16410,90,52,419,20,3,1,36,6,1,0.384615384615385,0.0576923076923077,0.0192307692307692,0.692307692307692,0.115384615384615,0.0192307692307692,0.0012187690432663,0.000182815356489945,6.0938452163315e-05,0.00219378427787934,0.00036563071297989,6.0938452163315e-05
41,129243,91,91,901,182,121,2,449,267,3,2,1.32967032967033,0.021978021978022,4.93406593406593,2.93406593406593,0.032967032967033,0.00140820005725649,0.000936220917187004,1.54747259039174e-05,0.00347407596542946,0.00206587590817298,2.32120888558761e-05
42,2993,87,60,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4292,90,63,231,0,0,6,0,1,19,0,0,0.0952380952380952,0,0.0158730158730159,0.301587301587302,0,0,0.00139794967381174,0,0.000232991612301957,0.00442684063373719
44,8855,33,33,234,9,0,0,40,7,0,0.272727272727273,0,0,1.21212121212121,0.212121212121212,0,0.00101637492941841,0,0,0.00451722190852626,0.000790513833992095,0
45,10840,28,21,276,268,29,0,423,150,0,12.7619047619048,1.38095238095238,0,20.1428571428571,7.14285714285714,0,0.0247232472324723,0.00267527675276753,0,0.0390221402214022,0.0138376383763838,0
46,51097,91,91,753,14,26,2,42,27,5,0.153846153846154,0.285714285714286,0.021978021978022,0.461538461538462,0.296703296703297,0.0549450549450549,0.000273988688181302,0.000508836135193847,3.91412411687575e-05,0.000821966064543907,0.000528406755778226,9.78531029218937e-05
47,5966,26,26,312,14,0,50,20,0,115,0.538461538461538,0,1.92307692307692,0.769230769230769,0,4.42307692307692,0.00234663090848139,0,0.00838082467314784,0.00335232986925913,0,0.01927589674824
48,416,90,44,63,1,0,0,3,0,0,0.0227272727272727,0,0,0.0681818181818182,0,0,0.00240384615384615,0,0,0.00721153846153846,0,0
49,2726,71,26,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3711,91,75,221,5,0,8,6,1,9,0.0666666666666667,0,0.106666666666667,0.08,0.0133333333333333,0.12,0.00134734572891404,0,0.00215575316626246,0.00161681487469685,0.000269469145782808,0.00242522231204527
51,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,5568,30,30,270,3,0,0,21,0,0,0.1,0,0,0.7,0,0,0.000538793103448276,0,0,0.00377155172413793,0,0
53,68465,90,90,880,321,26,2,463,46,6,3.56666666666667,0.288888888888889,0.0222222222222222,5.14444444444444,0.511111111111111,0.0666666666666667,0.00468852698459067,0.000379756079748777,2.92120061345213e-05,0.00676257942014168,0.00067187614109399,8.76360184035639e-05
54,1121,29,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,43825,56,56,1660,76,173,42,265,305,103,1.35714285714286,3.08928571428571,0.75,4.73214285714286,5.44642857142857,1.83928571428571,0.00173416999429549,0.00394751853964632,0.000958357102110667,0.0060467769537935,0.0069594980034227,0.00235025670279521
56,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,39627,86,86,1639,750,501,850,1443,967,1417,8.72093023255814,5.82558139534884,9.88372093023256,16.7790697674419,11.2441860465116,16.4767441860465,0.0189264895147248,0.0126428949958362,0.0214500214500215,0.0364145658263305,0.0244025538143185,0.0357584475231534
