"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","page_center_w1","page_left_w1","page_right_w1","page_center_w2","page_left_w2","page_right_w2","domain_center_w1","domain_left_w1","domain_right_w1","domain_center_w2","domain_left_w2","domain_right_w2","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","page_center_mean_w2","page_left_mean_w2","page_right_mean_w2","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","page_center_perc_w2","page_left_perc_w2","page_right_perc_w2","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1","domain_center_perc_w2","domain_left_perc_w2","domain_right_perc_w2"
"14-share-pheasants-whimpered-easily",30326,91,92,666,24830,89,89,564,376,160,699,109,77,360,600,279,699,242,133,360,4.08695652173913,1.73913043478261,7.59782608695652,1.2247191011236,0.865168539325843,4.04494382022472,6.52173913043478,3.03260869565217,7.59782608695652,2.71910112359551,1.49438202247191,4.04494382022472,0.0123986018597903,0.00527600079140012,0.0230495284574293,0.00438985098670963,0.00310108739428111,0.0144985904148208,0.0197850029677504,0.00920002638000396,0.0230495284574293,0.00974627466774064,0.00535642368103101,0.0144985904148208
"14-sour-oysters-listened-merrily",3527,90,42,198,982,29,15,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-comfortable-donkeys-loitered-loudly",40509,90,87,1700,4395,90,88,428,118,122,34,7,6,0,219,283,34,66,120,0,1.35632183908046,1.40229885057471,0.390804597701149,0.0795454545454545,0.0681818181818182,0,2.51724137931034,3.25287356321839,0.390804597701149,0.75,1.36363636363636,0,0.00291293292848503,0.00301167641758622,0.000839319657360093,0.00159271899886234,0.00136518771331058,0,0.00540620602829001,0.00698610185390901,0.000839319657360093,0.0150170648464164,0.0273037542662116,0
"15-cool-platypuses-cried-loudly",9933,91,85,700,10058,92,86,690,30,162,34,39,178,10,31,168,34,40,179,12,0.352941176470588,1.90588235294118,0.4,0.453488372093023,2.06976744186047,0.116279069767442,0.364705882352941,1.97647058823529,0.4,0.465116279069767,2.08139534883721,0.13953488372093,0.00302023557837511,0.0163092721232256,0.00342293365549179,0.00387751043945118,0.0176973553390336,0.000994233446013124,0.00312091009765428,0.0169133192389006,0.00342293365549179,0.0039769337840525,0.0177967786836349,0.00119308013521575
"15-dangerous-spiders-fought-carefully",7167,91,92,397,10495,83,82,487,18,1,0,14,10,6,109,7,0,47,10,6,0.195652173913043,0.0108695652173913,0,0.170731707317073,0.121951219512195,0.0731707317073171,1.18478260869565,0.0760869565217391,0,0.573170731707317,0.121951219512195,0.0731707317073171,0.00251151109250733,0.000139528394028185,0,0.00133396855645545,0.000952834683182468,0.000571700809909481,0.0152085949490721,0.000976698758197293,0,0.0044783230109576,0.000952834683182468,0.000571700809909481
"15-early-greg-fought-quickly",7742,60,60,676,5776,93,56,370,27,0,1,2,0,0,27,3,1,2,0,0,0.45,0,0.0166666666666667,0.0357142857142857,0,0,0.45,0.05,0.0166666666666667,0.0357142857142857,0,0,0.00348747093774219,0,0.000129165590286748,0.000346260387811634,0,0,0.00348747093774219,0.000387496770860243,0.000129165590286748,0.000346260387811634,0,0
"15-fresh-gerbils-fought-loudly",6230,85,58,267,8268,83,84,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-full-stoats-knitted-eagerly",1328,90,80,123,280,25,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-happy-foxes-cried-easily",7541,91,91,425,9251,85,86,526,18,40,0,15,28,3,19,41,0,15,36,3,0.197802197802198,0.43956043956044,0,0.174418604651163,0.325581395348837,0.0348837209302326,0.208791208791209,0.450549450549451,0,0.174418604651163,0.418604651162791,0.0348837209302326,0.00238695133271449,0.0053043362949211,0,0.00162144633012647,0.00302669981623608,0.000324289266025295,0.00251955974008752,0.00543694470229413,0,0.00162144633012647,0.00389147119230353,0.000324289266025295
"15-hungry-pigeons-went-quickly",10445,89,59,403,9384,87,57,353,14,4,1,26,15,0,24,6,1,45,15,0,0.23728813559322,0.0677966101694915,0.0169491525423729,0.456140350877193,0.263157894736842,0,0.406779661016949,0.101694915254237,0.0169491525423729,0.789473684210526,0.263157894736842,0,0.00134035423647678,0.000382958353279081,9.57395883197702e-05,0.00277067348678602,0.00159846547314578,0,0.00229775011967449,0.000574437529918621,9.57395883197702e-05,0.00479539641943734,0.00159846547314578,0
"15-interesting-hawks-danced-easily",2114,18,15,144,2022,11,12,154,71,9,0,27,2,0,118,10,0,178,2,0,4.73333333333333,0.6,0,2.25,0.166666666666667,0,7.86666666666667,0.666666666666667,0,14.8333333333333,0.166666666666667,0,0.0335856196783349,0.00425733207190161,0,0.013353115727003,0.000989119683481701,0,0.0558183538315989,0.00473036896877956,0,0.0880316518298714,0.000989119683481701,0
"15-sad-otters-went-loudly",3720,84,57,336,2427,11,10,173,76,34,3,38,6,6,206,107,3,42,6,6,1.33333333333333,0.596491228070175,0.0526315789473684,3.8,0.6,0.6,3.6140350877193,1.87719298245614,0.0526315789473684,4.2,0.6,0.6,0.0204301075268817,0.00913978494623656,0.000806451612903226,0.0156571899464359,0.00247218788627936,0.00247218788627936,0.0553763440860215,0.0287634408602151,0.000806451612903226,0.0173053152039555,0.00247218788627936,0.00247218788627936
"15-short-bats-played-eagerly",10061,75,54,467,1072,26,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-short-trouts-whimpered-easily",2065,59,15,174,10969,88,50,421,17,0,0,136,5,47,187,0,6,1730,5,157,1.13333333333333,0,0,2.72,0.1,0.94,12.4666666666667,0,0.4,34.6,0.1,3.14,0.00823244552058111,0,0,0.0123985778101924,0.00045583006655119,0.00428480262558118,0.0905569007263922,0,0.00290556900726392,0.157717203026712,0.00045583006655119,0.0143130640897074
"15-warm-spiders-snuggled-easily",3766,61,62,227,584,34,30,51,4,5,0,0,1,0,6,5,0,1,1,0,0.0645161290322581,0.0806451612903226,0,0,0.0333333333333333,0,0.0967741935483871,0.0806451612903226,0,0.0333333333333333,0.0333333333333333,0,0.00106213489113117,0.00132766861391397,0,0,0.00171232876712329,0,0.00159320233669676,0.00132766861391397,0,0.00171232876712329,0.00171232876712329,0
