"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","page_center_w1","page_left_w1","page_right_w1","domain_center_w1","domain_left_w1","domain_right_w1","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1"
"10-bitter-weasels-jumped-correctly",73381,91,91,276,16,2,2,38,2,2,0.175824175824176,0.021978021978022,0.021978021978022,0.417582417582418,0.021978021978022,0.021978021978022,0.000218040092121939,2.72550115152424e-05,2.72550115152424e-05,0.000517845218789605,2.72550115152424e-05,2.72550115152424e-05
"10-cool-starlings-snuggled-jovially",17643,41,41,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-early-hares-hopped-quickly",2554,15,15,183,1,0,0,1,2,0,0.0666666666666667,0,0,0.0666666666666667,0.133333333333333,0,0.000391542678151919,0,0,0.000391542678151919,0.000783085356303837,0
"10-expensive-salmons-felt-quickly",379,191,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-fair-trouts-snuggled-easily",6630,90,62,295,4,17,3,8,17,3,0.0645161290322581,0.274193548387097,0.0483870967741935,0.129032258064516,0.274193548387097,0.0483870967741935,0.000603318250377074,0.00256410256410256,0.000452488687782805,0.00120663650075415,0.00256410256410256,0.000452488687782805
"10-free-lobsters-engaged-quickly",9785,90,28,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-heavy-gerbils-married-fast",32784,90,91,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-heavy-salmons-hid-correctly",5294,87,66,303,9,2,2,12,2,4,0.136363636363636,0.0303030303030303,0.0303030303030303,0.181818181818182,0.0303030303030303,0.0606060606060606,0.0017000377786173,0.000377786173026067,0.000377786173026067,0.0022667170381564,0.000377786173026067,0.000755572346052134
"10-hungry-frogs-loitered-carefully",12925,91,90,359,10,12,0,11,16,0,0.111111111111111,0.133333333333333,0,0.122222222222222,0.177777777777778,0,0.000773694390715667,0.000928433268858801,0,0.000851063829787234,0.00123791102514507,0
"10-important-swans-kissed-easily",14758,91,87,615,57,63,16,58,64,18,0.655172413793103,0.724137931034483,0.183908045977011,0.666666666666667,0.735632183908046,0.206896551724138,0.00386231196639111,0.00426887112074807,0.00108415774495189,0.0039300718254506,0.00433663097980756,0.00121967746307088
